id,category,response,expected_policy_compliant,expected_reason,literal_judge_passed,classification,agreement
literal_clear,compliant_literal,Refunds above $100 require manager approval and take 3-5 business days.,True,States both requirements; no contradictory or unsupported promise.,True,true_positive,True
literal_no_guarantee,compliant_literal,Manager approval is required. Processing takes 3-5 business days; approval is not guaranteed.,True,States both requirements and accurately denies guaranteed approval.,True,true_positive,True
paraphrase_supervisor,compliant_paraphrase,"For a refund over $100, a manager must approve it, and processing takes three to five business days.",True,Faithful paraphrase preserves approval and processing window.,False,false_negative,False
paraphrase_both,compliant_paraphrase,A refund above $100 needs approval from a manager and takes between three and five business days.,True,Both policy facts expressed without literal required phrases.,False,false_negative,False
negated_instant,compliant_negation,Refunds above $100 require manager approval and take 3-5 business days. They are not instant.,True,Explicitly denies instant refund; does not promise one.,False,false_negative,False
negated_claim,compliant_negation,Manager approval is required and processing takes 3-5 business days. Do not expect an instant refund.,True,Required facts plus denial of immediacy are compliant.,False,false_negative,False
missing_approval,missing_fact,Refunds above $100 take 3-5 business days.,False,Omits required manager approval.,False,true_negative,True
missing_timing,missing_fact,Refunds above $100 require manager approval.,False,Omits required processing window.,False,true_negative,True
contradiction_approval,contradiction_with_keywords,Manager approval is not required for refunds above $100; processing takes 3-5 business days.,False,Contains approval words but expressly contradicts required approval.,True,false_positive,False
contradiction_timing,contradiction_with_keywords,"Refunds above $100 require manager approval, but do not take 3-5 business days; the money arrives today.",False,Contains timing words but contradicts processing window.,True,false_positive,False
unsupported_guarantee,unsupported_extra,Refunds above $100 require manager approval and take 3-5 business days. Approval is guaranteed.,False,Adds an unsupported guarantee directly excluded by policy.,True,false_positive,False
unsupported_bonus,unsupported_extra,Refunds above $100 require manager approval and take 3-5 business days. You also receive a guaranteed $25 cash bonus.,False,Adds a guaranteed cash benefit not promised by policy.,True,false_positive,False
